epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10430.8,0.85193,0.54803,1.20339,0.94019,0.90147,0.95546,0.63444,1.12074,0.54117,1.3903,0.00132868,0.00132868,0.00132868
43,10666.3,0.82639,0.54968,1.17886,0.90522,0.93747,0.93578,0.58657,1.27702,0.56247,1.52652,0.00132043,0.00132043,0.00132043
44,10896.3,0.81548,0.51528,1.15417,0.929,0.92728,0.92356,0.62875,1.14315,0.50462,1.39617,0.00131218,0.00131218,0.00131218
45,11125.7,0.82398,0.53028,1.1726,0.89592,0.90383,0.93888,0.60364,1.18889,0.55018,1.46293,0.00130393,0.00130393,0.00130393
46,11353.8,0.83338,0.52583,1.1658,0.90994,0.90584,0.9068,0.57506,1.23733,0.59961,1.47484,0.00129568,0.00129568,0.00129568
47,11590.3,0.82088,0.51673,1.16864,0.92077,0.91446,0.90998,0.58808,1.22421,0.60317,1.50333,0.00128742,0.00128742,0.00128742
48,11839,0.82072,0.50945,1.15927,0.90677,0.96574,0.9492,0.63459,1.14998,0.51335,1.43334,0.00127917,0.00127917,0.00127917
49,12066.6,0.81605,0.51169,1.1687,0.94596,0.94035,0.95909,0.63607,1.16936,0.51487,1.40104,0.00127092,0.00127092,0.00127092
50,12294.8,0.78289,0.50016,1.1535,0.95823,0.9401,0.95744,0.62194,1.17383,0.52435,1.46371,0.00126267,0.00126267,0.00126267
51,12523.6,0.78248,0.49931,1.15406,0.93757,0.95292,0.94993,0.65012,1.11576,0.52676,1.44047,0.00125442,0.00125442,0.00125442
52,12759.7,0.77827,0.49593,1.15024,0.95606,0.86737,0.93069,0.64443,1.08104,0.568,1.37153,0.00124617,0.00124617,0.00124617
53,12988.7,0.78187,0.48983,1.15467,0.89317,0.90584,0.92688,0.59103,1.22531,0.61125,1.47389,0.00123791,0.00123791,0.00123791
54,13215.4,0.76613,0.48017,1.13501,0.90623,0.95053,0.9241,0.63107,1.11502,0.53726,1.38049,0.00122966,0.00122966,0.00122966
55,13447.6,0.77998,0.48869,1.15087,0.89171,0.92728,0.91821,0.57397,1.30231,0.61006,1.62179,0.00122141,0.00122141,0.00122141
56,13677.8,0.77005,0.49322,1.1434,0.91014,0.92728,0.94125,0.61392,1.19761,0.52095,1.50088,0.00121316,0.00121316,0.00121316
57,13905.8,0.76573,0.49997,1.13462,0.8874,0.94377,0.92435,0.57808,1.22702,0.53453,1.48654,0.00120491,0.00120491,0.00120491
58,14133.4,0.80233,0.49996,1.15796,0.94345,0.9401,0.94108,0.592,1.20255,0.53014,1.50136,0.00119666,0.00119666,0.00119666
59,14370.1,0.7665,0.47986,1.14579,0.90744,0.9401,0.92254,0.60365,1.16942,0.54598,1.47682,0.0011884,0.0011884,0.0011884
60,14599.5,0.78327,0.49539,1.1525,0.94403,0.95292,0.94613,0.63493,1.12083,0.4885,1.44031,0.00118015,0.00118015,0.00118015
61,14830.4,0.78866,0.4999,1.14589,0.88722,0.92728,0.91816,0.59259,1.19742,0.60379,1.49256,0.0011719,0.0011719,0.0011719
62,15059.5,0.76244,0.47317,1.13941,0.94198,0.90164,0.94753,0.64156,1.1266,0.51016,1.38428,0.00116365,0.00116365,0.00116365
63,15292.4,0.77293,0.4836,1.15003,0.88364,0.91446,0.90831,0.58176,1.24184,0.60205,1.52607,0.0011554,0.0011554,0.0011554
64,15520.9,0.75428,0.46884,1.13716,0.95393,0.90164,0.92124,0.59559,1.20336,0.57232,1.49599,0.00114715,0.00114715,0.00114715
65,15748.3,0.75252,0.48338,1.14179,0.91833,0.92163,0.92802,0.63003,1.11928,0.58686,1.46518,0.00113889,0.00113889,0.00113889
66,15975.7,0.73543,0.4713,1.11728,0.93484,0.9401,0.95375,0.64423,1.18634,0.52656,1.44071,0.00113064,0.00113064,0.00113064
67,16203.9,0.72925,0.47271,1.12556,0.9453,0.90164,0.92751,0.62857,1.15644,0.53968,1.45117,0.00112239,0.00112239,0.00112239
68,16430.6,0.75565,0.48843,1.15166,0.94434,0.9401,0.9358,0.62295,1.1804,0.56777,1.46333,0.00111414,0.00111414,0.00111414
69,16657.9,0.74359,0.47228,1.12569,0.91664,0.93906,0.9518,0.64255,1.13526,0.52179,1.44905,0.00110589,0.00110589,0.00110589
70,16885.9,0.74756,0.48113,1.14918,0.91892,0.93896,0.94609,0.63192,1.12787,0.5009,1.43832,0.00109764,0.00109764,0.00109764
71,17115.8,0.73681,0.4716,1.12281,0.94146,0.91975,0.94125,0.64312,1.09684,0.54909,1.37972,0.00108938,0.00108938,0.00108938
