epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.47,0.75684,0.55054,1.1471,0.9468,0.98932,0.97135,0.62723,1.13432,0.53615,1.42275,0.00021671,0.00021671,0.00021671
2,356.76,0.73475,0.49075,1.11279,0.92621,0.96102,0.94733,0.61479,1.20076,0.60375,1.47581,0.000447862,0.000447862,0.000447862
3,528.878,0.73434,0.51795,1.11706,0.94672,0.96673,0.95455,0.60864,1.19364,0.5888,1.47333,0.000676704,0.000676704,0.000676704
4,670.897,0.79061,0.57274,1.15127,0.94735,0.96102,0.95518,0.6541,1.1045,0.59065,1.35052,0.000903235,0.000903235,0.000903235
5,822.037,0.76401,0.52334,1.12917,0.92729,0.95635,0.94009,0.63759,1.11677,0.58491,1.37272,0.00112746,0.00112746,0.00112746
6,1026.76,0.81572,0.56788,1.17326,0.94116,0.96102,0.9363,0.63854,1.08796,0.63392,1.36809,0.00134937,0.00134937,0.00134937
7,1308.1,0.82857,0.58346,1.16712,0.92735,0.93119,0.95815,0.61928,1.18282,0.706,1.51055,0.00156897,0.00156897,0.00156897
8,1562.63,0.85995,0.62047,1.18989,0.86422,0.91754,0.88771,0.55345,1.21341,0.83366,1.58967,0.00160924,0.00160924,0.00160924
9,1714.8,0.85441,0.58293,1.17536,0.83673,0.9479,0.94062,0.53159,1.33764,0.86749,1.61473,0.00160099,0.00160099,0.00160099
10,1856.66,0.8092,0.55495,1.15397,0.80278,0.92204,0.87949,0.5604,1.23619,0.8506,1.59185,0.00159274,0.00159274,0.00159274
11,1998.99,0.84598,0.58961,1.18195,0.90048,0.96277,0.93655,0.63173,1.14323,0.64898,1.3731,0.00158448,0.00158448,0.00158448
12,2157.38,0.7971,0.55765,1.1551,0.92051,0.94093,0.95621,0.60611,1.25911,0.68915,1.53999,0.00157623,0.00157623,0.00157623
13,2314.09,0.82404,0.56609,1.16276,0.83488,0.92063,0.91932,0.59811,1.17446,0.66278,1.51482,0.00156798,0.00156798,0.00156798
